page_number,essay
0,"Rica nu stia sa zica rau, ratusca, ramurica. I stared at the cracked ceiling of my 
bedroom in Romania, repeating the eight words under my breath. Rica nu stia sa zica 
rau, ratusca, ramurica. More than anything, I wanted to roll my r's, to speak Romanian 
without the telltale American accent. The simple exercise became a prayer. Rica nu stia 
sa zica rau, ratusca, ramurica. More than anything, I wanted to assimilate into the 
country that was my second home. 
My problems with identity probably sound familiar to many children of immigration. I felt 
most at home when surrounded by Romanians. I ate mici on the Fourth of July with 
Romanians. I met my best friend through the Romanian community. But when I spoke 
Romanian, I was something else: an American. I wanted to demolish that language 
barrier, to jump up and down on its remains, to destroy what marked me as an imposter, 
a pretender, a fake. 
Instead, I ran away. When my parents spoke to me in Romanian, I answered in English. 
When my friends called me a ""fake Romanian,"" I laughed. I chose to distance myself 
from my culture, and I made sure everyone was aware of that choice. But beneath the 
surface I felt adrift in a sea of ambiguous identity. I wanted to feel at home in two 
cultures; instead I felt like an outsider to both. 
About two years ago, I caught the baking bug. Starting out with pre-made mixes and 
rock-hard chocolate chip cookies, I worked my way up to custards, traybakes, and the 
occasional cake. I loved the methodical, precise nature of baking and came to 
appreciate the chemical underpinnings that made it possible. Though I did bake for 
myself, I baked mostly for others, revelling in the warm nods and crumb-filled smiles as 
people tasted the cake I'd spent the weekend making. 
As I started baking more on my own, I began leafing through old family recipes scrawled 
on yellowed scraps or typed up in long-forgotten emails. The aromas 
of cornulete, fursecuri, and saratele soon wafted through our house, evoking memories 
of summers long ago in our grandparent's apartments in Bucharest. The all-too-loud 
radio in Buni Doina's kitchen as she labored over prajituri de cirese. 
Plucking gogosi from the fryer with Buni's scoldings ringing in our ears. Watching Buni 
spoon generous amounts of honey and ground walnuts atop steaming mucenici. On 
some days, I imagined Buni's expert eye watching me stretch dough into clumsy figure 
eights, five thousand miles away. 
Buni's most important baking lesson, though, was not about moisture or 
measurements. Like me, Buni Doina can be overbearing at times, stubborn in the face 
of offered help, unyielding in her ways. But in the kitchen, dusted in powdered sugar, 
there is no denying her devotion to our happiness. Every stir of her wooden spoon is a 
step back to the common ground that unites us, fueled by constant, unrelenting 
affection. Her baking is not confined to an amalgamation of sugar, butter, and flour. It's 
an outstretched hand, an open invitation, a makeshift bridge thrown across the divides 
of age and culture. 
Thanks to Buni, the reason I bake has evolved. What started as stress relief is now a 
lifeline to my heritage, a language that allows me to communicate with my family in 
ways my tongue cannot. By rolling dough for saratele and crushing walnuts for 
cornulete, my baking speaks more fluently to my Romanian heritage than my broken 
Romanian ever could. Making my parents the desserts of their childhood, seeing their 
warm, nostalgic smiles as they taste that first bite of cremsnit, I reconnect to our family 
and culture. Through baking, I've come to see food not simply as sustenance, but as a 
universal language, a way to say the unspoken and voice the impossible."
1,"The only thing I associated with both Wisconsin the state and Wisconsin the university was 
cheese. For some irrational reason, I believed our campus tour would include shrines to 
cheese, statues of cheese, and endless cheese boutiques (is there such a thing?). In that 
respect, I was sorely disappointed. In every other respect, I was anything but. My mental 
checklist for colleges, after much condensing, contained three bullet points. Firstly, and 
most importantly, I wanted to go somewhere academically rigorous and research intensive, 
with innovative, dedicated professors and students as dedicated as I was. Secondly, I 
wanted a beautiful campus, to love where I would live for four years. And thirdly, I wanted 
to be happy. 
After seeing the towering monuments to research, the countless labs and classrooms and 
libraries, I knew, beyond a shadow of a doubt, that the University of Wisconsin was 
dedicated to providing its students with the best education possible, be it in the classroom 
or the lab. I knew my love for the molecular basis of life would be cultivated here like so 
many cell cultures. 
I remember boiling down cabbage with my dad to make acid/base indicators, talking in the 
car about the differences between branched and unbranched hydrocarbons in gasoline. In 
elementary school, my teacher wrote in my recommendation that I had been spending too 
much time reading animal books and too little time playing with other kids. I loved (and 
still love) all things living, often marvelling at the complexity of the animal kingdom, the 
human body, the organs, and the cells that were the foundation for everything else. The 
first time I read about the process of translation, of rendering mRNA into proteins, my eyes 
filled with tears; this is what I wanted to do, to apply the chemistry that had defined my 
childhood to my love of biology. 
The University of Wisconsin shares that passion, dedicating a plethora of resources, both 
intellectual and material, to its Biochemistry department. With technologies like biolayer 
interferometry, classes in the molecular control of metabolic disease, and distinguished 
professors, the University of Wisconsin Madison has everything any biochemistry 
undergraduate student would need, and much more. To research under a PI like Dr. 
Venturelli, listed among 33 other researchers as “the Future of Biochemistry” would be an 
unequalled opportunity, a dream fulfilled. Her work in drawing links between microbiome 
health and malnutrition in third-world countries does what the University of Wisconsin 
does best; making academic discoveries both relevant and essential in the real world. It is a 
culture I would be honored to take part in, should I be accepted. 
Although the University of Wisconsin Madison undoubtedly satisfied the first item on my 
mental list, I was sure my last two criteria would not go unmet. Located along the shore of 
Lake Manitoba and in walking distance of Madison, rated one of the best small cities in 
America by National Geographic, the University of Wisconsin Madison provides the ideal 
setting to learn, be challenged, and simply have fun. Walking by the lakefront with music 
playing in the background, I was sure that four years at the University of Wisconsin 
Madison would be challenging, but fun nonetheless. Our two tour guides embodied the 
Wisconsin spirit, recounting feeling the ground shake during “Jump around” and being 
pelted with snowballs after rushing Bascom Hill. Walking off of campus with my dad, salted 
caramel ice cream in hand (courtesy of “A Daily Scoop”), I felt a visceral sense of belonging, 
of knowing that this is where I wanted to learn and develop as a citizen of the world."
2,"I was 4. 
Blue blanket in one hand, cookie monster in the other, I stumbled down the steps to fill 
my sippy cup with coffee. My diplomatic self gulped down his caffeine while admiring his 
Harry Potter wands. My father and I watched the sunrise through the trees and 
windows. I cherished this small moment before my father left, disappearing in and out of 
my life at the wave of a wand, harassing my seemingly broken, but nevertheless, 
stronger, family. 
I was 10, and my relationship with coffee flourished as my father vanished. I admired 
the average, yet complex beverage and may have been the only ten-year-old to ask for 
a French-press for his birthday. Nonetheless, learning to craft intricate cups of coffee 
became my favorite pastime. I spent hours studying how to “bloom” the grounds in a 
Chemex or pour a swan. Each holiday, I would ask for an aeropress, an espresso 
machine. I became a coffee connoisseur, infinitely perfecting my own form of art. 
As the years went by--I was 11, 12, 13--I began to explore the cafes in Pittsburgh with 
my grandmother, capturing them through our shared love for photography. Coffee (one 
of the few positive memories I have of my father) is also the bridge that allows my 
grandmother and I to converge our distinctly different backgrounds into one harmonious 
relationship. Inside quaint coffee shops, we would discuss pop culture, fashion, and the 
meaning of life. We made it our mission to visit every cafe and document them not only 
through the camera lens, but also through the conversations we shared. 
I was 16 years old, and working at a family-owned coffee shop training other employees 
to pour latte art. Making coffee became an artistic outlet that I never had before. I 
always loved math, but once I explored the complexities of coffee, I began to delve into 
a more creative realm--photography and writing--and exposed myself to the arts--
something foreign and intriguing. 
When my father left and my world exploded, coffee remained a light amongst the 
darkness. As the steam permeates my nostrils and the bitterness tickles my tongue, I 
learn a little more about myself. The act of pouring water over grounds allows me to 
slow down time for a moment, and reflect upon my day, my life, my dreams, and my 
future. When I dive into a morning cup, I take a plunge into the sea of the self, and as I 
sip, am struck with the feeling that coffee is a universal link between cultures. I picture 
my great grandmother sitting on her front porch in Rome, slurping LaVazza and eating 
her coffee-soaked biscotti. Every cup takes me back to my heritage, forces me to reflect 
upon where I came from and where I must go, and who else, in another world, is sipping 
the same drink and reflecting upon the same principles. You see, coffee is like the 
ocean. It bridges two culture, two lands, two brains, all through conversation, exposure, 
exploration, but by one medium. I do not see it as simply a beverage, but rather, a 
vehicle for so much more. 
At 18, coffee is a part of who I am--humble, yet important, simple, yet complex, and 
rudimentary, yet developed. As I explore new coffee shops, I explore a new part of 
myself, one once hidden beneath the surface of my persona. My grandmother and I--we 
are conquistadors of the cafe scene, conquering the world one coffee shop at a time 
and, in the process, growing endlessly closer to each other and ourselves. Coffee has 
allowed our relationship to flourish into a perpetual story of exploration and self-
reflection. 
Now, I often think about my father and how someone whom I resent so much could 
have introduced me to something I love so much. It is crazy to think that it took losing 
him for me to find my true self."
3,"People love to ask why. Why do you wear a turban? Why do you have long hair? Why 
are you playing a guitar with only 3 strings and watching TV at 3 A.M.—where did you 
get that cat? Why won’t you go back to your country, you terrorist? My answer 
is…uncomfortable. Many truths of the world are uncomfortable. A couple of examples 
are that an equal number of pets are euthanized as are adopted each year and that cats 
roam the streets at night because they are actually looking for owners with better 
food. One of those statements is a horrible truth and the other is a thought I had in the 
shower. Either way, the point still stands. Uncomfortable truths are just that, 
uncomfortable. The answer to ‘Why won’t you go back to your country, you terrorist?’ is 
the most uncomfortable answer I can give, barring the current status of aboriginal street 
cats. 
Sikhs like myself have borne the brunt of the backlash through our forced subjection to 
hate crimes, bullying, and job discrimination. In [Date], a misguided gunman took the 
lives of six Sikhs who were praying peacefully in their house of worship in Oak Creek, 
Wisconsin. Their families, through their tears, asked the nation, like I continue to ask 
myself, “Why?” 
The uncomfortable truth is that as a society, we have not found a solution to the growing 
trend of extremism and hate crimes—we failed at the whole “freedom of religion” clause 
in the Bill of Rights. The media tells us that these crimes are carried out by individuals 
that are ignorant and motivated by hate. I would personally call them losers, but that 
would solve none of underlying system problems that have grown from anti-immigration 
rhetoric. When my cousin joined the US Army, he was told that he’d have to cut his 
beard and hair. Every time I tell that part of the story I can’t help but guffaw at how 
ridiculous it sounds. My then eleven-year-old angst came to a climactic fruition hearing 
those words—it was a call to action. 
I helped to gather signatures for a petition to Robert Gates, then Secretary of Defense, 
pleading with him to allow Sikhs to serve without having to cut our hair. We garnered 
over 15,000 signatories, receiving generous media attention. We called and convinced 
our local congressional offices to support this issue. I created a Facebook page to help 
spread awareness, and helped to organize fundraisers to help fight this ban on our 
articles of faith. Our message is simple. Through service, we can push back against 
both hate and intolerance. But, if the largest employer in the U.S. does not allow us to 
serve with our articles of faith, then we will continue to be victimized as outsiders, 
contrary to the founding principles of our nation. 
I’m proud to say my cousin deployed to Afghanistan as the first Sikh to be granted a 
religious waiver in nearly a generation. He saved countless lives as a doctor on the front 
lines of war and was awarded the Bronze Star Medal for his efforts. But, (there’s always 
a but) Sikhs today still face a presumptive ban. Despite being in perfect—for the army’s 
sake—physical condition, I cannot join the US Army because of my hair. 
So now the uncomfortable story that was the uncomfortable answer to an uncomfortable 
question comes to an uncomfortable ending. And, like all great uncomfortable answers, 
I never really answered the main question. I don’t have the answers to why people do 
the hateful things they do. But by wearing my turban proudly every morning, by 
answering questions when they come up, by being willing to talk about everything that is 
wrong, I become a personification of what is right. My solution to the systemic problem 
starts with me."
4,"The three, small, purple seeds sat on the brown soil. Ten feet from me I could see my 
grandpa with his yunta and donkeys. They were in unison: the two donkeys, the plow, 
and him. My grandpa commanded; the donkeys obeyed. I began to feel tired. 
Exhausted. My neck was being pierced by the Mexican sun as I dropped seeds for 
hours. 
I can’t complain; I wanted to do this. 
I placed three tiny seeds, imagining the corn stalk growing while the pumpkin vines 
wrapped around it; both sprouting, trying to bear fruit. I clenched a fistful of dirt and 
placed it on them. “Más,” my grandpa told me as he quickly flooded the seeds with life-
giving dirt. 
Covered. Completely trapped. 
My grandfather has been doing this ever since he was a little boy. Fifty-five years 
later and he still works hard on the field. There isn’t much else to do in the small town of 
Temalac, Guerrero. All he could do was adapt; something my parents never did. They 
sacrificed everything and left their home, never to return again. With no knowledge of 
what would come tomorrow, with only their clothes on their backs, they immigrated to 
the US. They had to work on unknown soil, hoping their dedication will help sprout the 
new seeds they’d soon plant. They did this for me. They wanted me to worry about my 
education, not if there would be enough rain to satisfy the thirst of the crops. 
I have a thirst. 
A thirst to be the vessel for my family into a better future. I must be the crop that feeds 
them. All these thoughts rushed into my soul as I looked back down the aluminum 
bucket. I could never be a farmer. I’m grateful my parents were. 
They planted a seed. A tiny seed with no instructions but to succeed. I’m the first-born 
son of two immigrant parents. I had a clean sheet to become anything. I could’ve fallen 
into my town’s influence, joined a gang, and become another statistic. Regardless of the 
dirt I come from, I began to sprout. Ever since I was eight years old I was entrusted with 
responsibilities. We were lucky that school was a three-minute walk; yet it was a 
stressful journey for a child. I had to wake up my brother, give him breakfast, make sure 
his clothes were ready, and that he was doing well in school. 
Growing up, I always fell behind in school. I had to take summer classes to match my 
peers’ intellect; while others were reading to learn, I was merely learning to read. My 
parents weren’t able to teach me English; I grew up solely developing my Spanish 
accent. My bilingual brain hadn't yet matured and lacked the English tongue. Entrusting 
a child to be the translator-of-all-matters for his parents robs him of his childhood. I had 
to help my parents navigate an English system unknown to them. From the day I 
learned to speak I had to learn to advocate not just for myself, but for my parents. 
I’m the type of person my family tree hasn’t seen. Staying in high school, getting good 
grades, and being a responsible individual are aspects that make people around me 
think that I have sprouted. But I have not yet bloomed into the being I wish to 
become. In fact, I have merely tunneled my roots onto the Earth; roots that have been 
solidified by the determination my parents instilled in me as a child. Nothing I ever 
accomplished was handed to me. It’s the fact that I have come this far without the 
advantages other students have that fills me with pride."
5,"I spent much of my childhood watching movies. I became absolutely engrossed in many 
different films, TV shows, and animations. From the movie theatres to the TV, I spent 
my hours enjoying the beauty of visual media. One place that was special to me was 
the car. My parents purchased a special screen that could be mounted on the back of 
the headrest, so that I could watch movies on trips. This benefited both parties, as I was 
occupied, and they had peace. Looking back, I realize this screen played a crucial role 
in my childhood. It was an integral part of many journeys. I remember taking a drive to 
Washington D.C, with my visiting relatives from Poland, and spending my time with my 
eyes on the screen. I remember packing up my possessions and moving to my current 
home from Queens, watching my cartoons the whole time. I can comfortably say that 
watching movies in the car has been an familiar anchor during times of change in my 
life. 
I used to watch many different cartoons, nature documentaries, and other products in 
the car, yet there has been one movie that I have rewatched constantly. It is called 
“Kiki’s Delivery Service” by Hayao Miyazaki. My parents picked it up at a garage sale 
one day, and I fell in love. The style of the animations were beautiful, and the 
captivating story of a thirteen year old witch leaving home really appealed to me. To be 
honest, the initial times I watched it, I didn’t fully understand the story but the magic and 
beauty just made me happy. Then, the more I watched it, I began to see that it was 
more about independence, including the need to get away from home and establish 
yourself as your own person. This mirrors how I felt during that period of my life,with 
mehaving a little rebellious streak; I didn’t agree with my parents on certain topics. That 
is not the end of the story though. As the years passed, and I watched it a couple more 
times, although with less frequency than before, my view of this movie evolved yet 
again. 
Instead of solely thinking about the need for independence, I began to think the movie 
was more about the balance of independence and reliance. In the movie, the girl finds 
herself struggling until she begins to accept help from others. Looking back, this also 
follows my own philosophy during this time. As I began to mature, I began to realize the 
value of family, and accept all the help I can get from them. I appreciate all the hard 
work they had done for me, and I recognize their experience in life and take advantage 
of it. I passed through my rebellious phase, and this reflected in my analysis of the 
movie. I believe that this is common, and if I look through the rest of my life I am sure I 
would find other similar examples of my thoughts evolving based on the stage in my life. 
This movie is one of the most important to me throughout my life."
6,"His eyes stared back at me with contentment. Neither he nor I, the baby girl on his lap, 
are smiling, but there is a sense of peace, of quiet happiness about us. I hold his wrist in 
one hand, my other grasping a bottle of ketchup. He holds my tiny leg and my waist, 
propping me up. His wedding band gleams in the midafternoon sunlight. 
That same ring catches the light in my bedroom, the bedroom he painted yellow when I 
was still the baby in the photo. My mother gave it to me for my sixteenth birthday, and it 
flashes purple when I move my hand. Staring at my reflection in the ring’s surface, I can 
still see the baby girl in the photo. I have the same round face, the same brown, 
almond-shaped eyes. For the first time, I have something tangible to remind me of him -
- something more substantial than our shared love of puns or 16-year-old photographs 
that curl at the corners. 
That picture has stayed the same for 16 years. My dad passed away before I took my 
first steps. I have no conscious memories of him. My mother did her best to make my 
childhood as normal as possible, but my dad’s loss still hurts. It is a strange feeling not 
to know what my own father’s favorite color was or what foods he liked. 
I was most fascinated by my mother’s stories of his career. Driven by a desire to 
emulate him, I decided I wanted to prosecute corporate tax fraud for the IRS, as he had 
done. If I was unable to know him, choosing his career path felt like the most substantial 
connection I had to him. I wanted to make him proud to be my father. 
For much of my life, my dad’s most discernible presence came through Social Security 
survivor benefits or checks from his pension fund, supporting our family and 
compensating for my mom’s sporadic employment. My health insurance was provided 
through Medicaid. These programs leveled the socioeconomic playing field so that my 
family had one less thing to worry about. So we could afford to focus our limited 
finances on things like extracurricular activities or saving money to further my education. 
Slowly, my desire to become an attorney became less about becoming my father. The 
older I have grown, the more I have realized the necessity of programs like Medicaid 
and Social Security, how changes in entitlement programs affect the everyday lives of 
Americans dependent on them: if Medicaid suffered cuts or my pediatrician’s accepted 
forms of insurance changed, I went months at a time unable to see a doctor. Through 
this experience, I discovered a passion for civil rights law. I want to aid others in danger 
of losing the same programs that have been instrumental to my success -- to help those 
that need additional advantages to gain the same opportunities as their peers. 
Even many of my close friends do not ask why I wear the same ring every day; I keep 
the story personal. Writing about my dad is difficult. I rarely talk about him with anyone, 
even my family. I prefer my ring to be a silent symbol of our relationship. Our connection 
is intimate, and sharing the ways that I feel his presence in my day-to-day life makes me 
feel exposed. I have never written in this much depth about the ways losing my dad has 
affected me. 
Addressing my greatest vulnerability has forced me to think about the example my dad 
set for me, despite being unable to play the role in my life he deserved. His legacy 
helped me form my greatest aspirations. Embodied in my story is the story of someone I 
barely remember, yet has inspired me more than anyone, someone who has given me 
so many traits that have made me the person I am today."
7,"Sliding the scottie dog across “Go!” past Boardwalk and Park Place, I immediately 
exhale. I am safe for another round; far more importantly, though, my younger brothers 
have not surpassed me. 
After passing by the weekend of “GO,” I begin the next lap around the board of 
challenge, success, and strategy. My next turn stops me at a chance card that 
reads: “Psychology project, physics assignment, and precalc test tomorrow. You will not 
be home from riding until 10 PM, but be at school at 6:30 a.m. for an NHS meeting. Go.” 
Solving for f’(x) atop a tack trunk in between riding my horses, Cinda and Coco, and 
writing about Milgram’s prison experiment by the light of my phone on the way back 
home, I’ve managed to make it through this round, but not before falling asleep, pencil 
in hand. 
My next turn is greeted with a bit more docility as I land on my brother’s property, and 
begrudgingly pay my rent of driving him to and from lacrosse practice. I return home to 
finish updating a client’s website, and complete my homework before re-organizing my 
closet to be sorted chromatically (I suppose I am the slightest bit type A...). Later, I pass 
out while on FaceTime with my bestfriend, Stephen, only to have a nightmare filled 
unsolvable physics problems: which way does the pulley go?! The world may never 
know! 
However, my next roll is not as kind: I land on the tile that reads “GO TO JAIL!” The 
night before the most important math test of the year, I discover that my dad, with whom 
I have a very distant relationship, has become homeless. Questioning what I was doing 
as I continued to study—and consuming an entire bag of jolly ranchers in the process—I 
remind myself that I cannot control what others around me choose to do. With luck on 
my side and doubles on the first role, I take the test the next day to discover I have 
studied all of the right problems and receive a 98%. I am still in the game for another 
turn. 
Feeling a bit weary from my last roll of the dice, I cross my fingers with the “FREE 
PARKING” square in sight. As luck has it, I smoothly glide past the hotels to have my 
best horse show yet- earning multiple wins against stiff competition and gaining points 
to qualify for five different national finals this year. 
The game of Monopoly runs parallel to my life in many ways. It is a game of strategy 
and precision, with a hint of luck and a tremendous amount of challenge. These factors 
result in a game filled with tests and questions around every corner, keeping me on my 
toes. Through good and bad “turns,” I have learned when to multitask and when to 
focus, when to take risks and when to play it safe, when to have a poker face and when 
to ask for help. Most importantly, I know that in moments of doubt or confusion, I can 
rise to the occasion. Whether I am faced with a befuddling essay prompt, a difficult 
course in the horse show ring, or even unfortunate decisions by people in my life, I 
know I can always attack any situation with confidence and vigor. 
As I embark on my next trip around the board, I reflect on the past properties I have 
purchased, taxes I have paid, and hotels I have built. Through the rounds I have played 
thus far, I learned how to deal with whatever numbers I roll and spaces I land on, 
whether that be “GO TO JAIL” or “FREE PARKING”. I pick up the chance card from my 
last turn with confidence: “Take what comes and enjoy the ride” I smile. I am ready."
8,"I have seen 2017’s Power Rangers exactly five times in theaters, and it was the best 50 
dollars I ever spent. 
There is nothing extraordinary about a movie filled with gaping plotholes, inconsistent 
writing, and cheesy cliches: what makes Power Rangers unique is its diversity. The 
content we consume should properly represent our world, and Power Rangers does just 
that. The film’s positive representation of marginalized groups is a stepping stone for 
Hollywood; four out of the five rangers are people of color, one is autistic, and another is 
queer. 
Power Rangers wasn’t the catalyst for my passion regarding diversity, but it 
demonstrates how eagerly I will consume anything with realistic representation. From as 
early as elementary school, I knew that, as an Asian girl coming home to watch the 
Disney Channel, there were few people who looked like me whom I could idolize. My 
white friends could relate to the shows’ families, yet my household customs never 
appeared on screen. The few Asians that did appear faded into the background, 
forgotten by the audience or reduced to racist caricatures. 
Ironically, I never realized the harmful effects of this erasure until I discovered proper 
Asian representation. Believing that my race made me inferior in our white-dominant 
society, I unconsciously succumbed to the “reserved and quiet” Asian 
stereotype, purposefully shying away from the spotlight. When I finally saw Asians as 
protagonists, my craving for diverse media grew, and I sought to learn as much about 
the importance of minority representation as I could. The countless TED talks and think 
pieces I discovered, which described the conundrum of marginalization I had 
encountered, helped me come to terms with the experience, and to recognize the need 
for change. 
Despite the contemporary push for female-driven narratives, I know that Hollywood’s 
fixation on “white as default” remains (Leia and Rey from Star Wars, Wonder Woman 
and Black Widow of DC and Marvel Comics). I know that when storylines showcasing 
cultures of color become popular, producers want to cast white actors for roles - even if 
whitewashed movies have collectively lost $500 million in revenue over the years. I 
know that LGBT characters of color are virtually nonexistent. I know that the problem 
extends beyond actors to people behind the scenes, that most scriptwriters, directors, 
authors, and producers are still straight white men. 
As someone whose identity has historically been ignored by the media, my existence is 
validated by the rare but increasing presence of Asians in books, movies and TV. 
Seeing Asian content creators use their platforms to talk about the importance of 
representation and their firsthand experiences in fighting bigotry inspires me, in turn, to 
engage in my own brand of activism. I’ve participated in a panel about race relations 
following a school incident in which we discussed topics ranging from the danger of 
whitewashing to living life as a minority - ideas I’ve pursued more intensely in my blog. 
Additionally, I co-founded my school’s first multimedia magazine in the hopes of offering 
others a means of self-expression. I continuously challenge myself to push past 
society’s ideals of what I can and cannot accomplish; by using my voice, I strive to 
educate others while simultaneously educating myself. 
With a college education, I hope to further explore the damaging psychological effects a 
lack of representation or, worse, erasure of representation can cause, and study ways 
to reverse or even prevent them. Most importantly, we must make it easier for 
marginalized groups to share their stories. After all, if more people start advocating for 
more diversity, positive representation will emerge - a recent example being Hidden 
Figures, whose empowering portrayal of black women was universally praised and 
inspired people everywhere. 
My race and gender will always play a huge part in who I am. So instead of letting the 
media dictate how people like me are perceived, I am ready to write my own narrative."
9,"Tulane University has a unique history, deeply established in the city it calls home, New 
Orleans. After transitioning from a medical school to a full college in in 1847, then 
undergoing a name change from the University of Louisiana to Tulane in 1884, as the 
city changed, Tulane changed with it. Tulane is the crossroad of two distinctly different 
ideals: being rooted in tradition and adapting to the needs of modern society. 
When the city was devastated by Hurricane Katrina in 2005, Tulanians answered the 
call to serve. Scott S. Cowen, then-President of Tulane, refused to let the hurricane ruin 
Tulane and the CIty. Tulanians were part of rescue and clean-up teams, devoting time 
and resources to rebuilding their school and the city it calls home. What was most 
impressive, however, was their resilience. 
It would’ve been easy for the student body and staff to not come back. Being as smart 
and service-oriented as they are, the students and faculty could’ve found another place 
to live and learn easily. Yet, they returned. Tulanians have a certain sense of pride and 
commitment to the school that I admire. They could’ve stayed home and not gone back, 
but they wanted to pick up the pieces of the school they love. It’s clear that Tulanians 
take ownership in their education. I want to go to a school that my peers want to go to; I 
want to be immersed in a community as excited about being in it as I am. That’s Tulane. 
I could go on and on about Tulane’s teacher education program. I could write about how 
Tulane-educated teachers are leaders in their fields because they have both a degree in 
their area of study as well as certification to teach. Maybe I could mention the service 
learning requirements necessary to graduate and enter the teacher certification 
program, ensuring that the teachers are prepared to instill morals in the students that 
walk through their classroom door. 
Truthfully, I could go almost anywhere to become a teacher, but only schools like 
Tulane that synthesize in- and out-of-classroom learning produce great ones. Tulane, 
like I said before, houses a resilient and altruistic student body. They served New 
Orleans specifically in 2005, but Tulanians serve their community every single 
day. Newsweek ranked Tulane 19th for service-minded schools. Likewise, the U.S. 
News & World Report placed Tulane in the top 25 schools for service learning. It is one 
of the top schools for producing Peace Corps volunteers, a program that interested me 
for post-graduate work. 
Whether it is through Outreach Tulane, CACTUS, Wave of Green, or another similar 
program, I will be immersed in service work throughout my four years. Tulane stands 
alone in its commitment to community. Classroom education is married with service 
learning, producing empathetic, worldly leaders ready to set the world on fire. In my 
case, that will be through educating the next generation. 
I need a meaningful education to be a meaningful educator. Tulane is unparalleled in its 
dedication to development of the students, on a personal and intellectual level. From 
when I touch the Victory Bell after Convocation all the way to when I say farewell at the 
Wave Goodbye Party at Commencement, I’ll have changed and grown, both in my mind 
and in my heart. 
The Tulane study body is diverse and well-rounded; finding people and groups with 
shared interests is inevitable. I could see myself writing for the Hullabaloo or being a 
tutor in the After-School Newcomb Tutoring (which will bridge my learning and my 
intended career and give practical application to my education classes). But more so, I 
can just envision myself at Tulane, as a Tulanian. The willowing oak, myrtle, and 
cypress trees, the world-renowned research facilities, the dedicated faculty, the 
motivated and inspired student body, and the timeless school spirit all lend itself to a 
picture I can see myself in."
